AQI,PM2.5,PM10,SO2,CO,NO2,O3
181,139,172,26,1.6,82,77
181,140,210,22,1.5,74,88
166,130,197,7,1.1,30,125
124,85,157,32,1.2,68,111
124,77,156,27,1.2,75,171
119,88,178,22,1.3,75,150
100,65,144,29,0.9,38,149
85,48,104,7,0.7,42,108
160,110,223,73,2.6,70,94
76,52,83,40,1.5,77,86
64,33,79,24,1.1,38,126
206,163,230,58,1.5,87,152
211,164,262,54,1.4,79,153
142,106,172,29,1.4,43,168
98,69,122,21,1.1,50,86
143,106,170,25,1.7,75,88
108,76,135,45,0.7,51,129
81,57,102,40,1.4,52,137
108,82,107,38,1.4,47,92
126,96,105,30,1.1,37,86
137,91,146,42,1.7,54,102
146,106,145,34,2,44,106
80,54,79,13,0.7,28,97
82,54,90,31,0.7,45,114
97,60,95,26,0.7,30,114
106,70,122,32,1.4,51,160
92,62,109,25,0.8,36,136
82,51,100,51,1.4,55,94
58,32,55,15,1.1,16,115
104,64,146,25,1.5,51,104
82,55,88,43,2.8,60,110
60,42,57,25,0.5,54,101
56,40,40,7,0.7,55,119
65,47,50,7,0.8,66,122
56,40,29,10,0.8,59,118
63,43,57,7,1,37,120
55,37,47,6,1.1,40,114
81,60,40,12,0.8,38,105
51,36,54,6,1.1,31,130
41,27,35,7,1,35,135
55,39,44,9,1,32,142
98,73,100,13,0.6,42,106
64,44,68,9,0.7,45,70
55,40,48,7,0.6,33,120
86,64,71,9,1.1,49,78
77,56,70,5,0.7,42,107
58,41,52,8,1.1,18,123
67,49,50,8,0.5,24,92
76,53,74,3,0.6,19,132
45,30,41,6,0.8,25,125
43,30,35,5,0.9,44,95
40,27,36,5,0.8,42,80
52,35,52,12,1,61,84
47,32,42,9,0.7,36,97
78,57,77,12,1.2,66,69
46,32,49,7,0.8,52,54
46,25,49,6,0.5,43,60
39,22,33,9,0.8,21,132
25,10,21,11,0.9,38,38
33,22,26,7,0.6,27,77
62,45,40,7,0.6,32,68
67,48,56,9,0.8,34,74
46,27,48,5,0.6,31,93
46,21,49,4,0.8,42,101
66,48,70,21,0.6,63,107
22,11,21,6,1.2,29,65
31,12,24,4,1.1,49,55
91,53,125,33,0.8,39,101
102,70,139,28,0.7,40,91
80,57,82,21,0.5,26,192
81,59,82,18,0.7,24,126
69,46,75,16,1,35,141
87,65,64,15,1.1,43,121
57,40,32,7,1,21,80
72,53,40,4,1,37,69
64,46,34,6,0.5,19,98
58,40,36,9,1,40,68
55,38,55,10,1.1,46,56
69,47,86,9,1.2,100,40
65,46,73,14,1.1,66,98
65,46,68,8,1.1,78,58
37,22,33,10,0.9,56,95
43,29,39,12,0.6,65,71
52,37,52,8,0.8,36,164
44,25,46,5,0.7,26,110
55,38,60,4,1.1,50,124
90,64,122,9,1.4,48,110
44,29,43,12,0.5,32,128
65,38,75,9,0.9,40,107
49,30,50,6,0.9,49,146
47,25,49,6,0.6,35,165
100,75,115,16,1.5,59,36
51,29,55,10,1.3,36,59
48,29,51,10,1.4,43,48
35,15,36,5,0.6,12,95
52,37,47,12,1.2,28,113
73,50,85,23,1.1,45,57
80,57,96,20,1.2,81,105
59,37,66,15,1.4,45,115
75,53,66,13,0.9,56,191
59,37,72,16,0.5,26,163
59,42,58,13,0.8,17,93
64,41,57,19,0.9,31,70
46,28,49,13,0.8,6,119
74,44,98,18,0.9,50,116
32,12,31,10,0.8,8,85
157,120,126,18,1.3,56,112
99,73,121,15,1.4,74,105
134,102,130,18,1.8,70,116
100,62,141,12,1.5,66,145
81,52,103,12,1.2,69,124
126,96,138,15,1.5,19,103
92,61,77,4,1.5,68,34
60,42,59,9,0.9,10,106
53,37,51,11,1,33,53
63,43,82,10,0.7,37,71
59,32,57,14,0.9,93,82
83,55,108,23,0.7,32,101
85,62,94,23,0.8,23,119
95,71,74,13,1.1,35,153
56,38,56,6,0.6,28,110
151,116,157,35,1.7,35,134
66,33,77,15,0.7,25,116
62,37,56,25,0.8,26,104
57,39,65,16,0.5,20,175
80,54,107,13,1.1,39,97
107,72,154,19,1.5,39,153
92,67,119,21,1.5,38,161
